title,date,delivers,opens,open_rate,audience,post_id,url
AI Lessons for 2025 from around the world ,2025-12-19,2143,1139,0.5315,everyone,182061235,https://developai.substack.com/p/182061235
What is the AI EU Act backtracking on?,2025-11-19,2165,1117,0.5159,everyone,178829845,https://developai.substack.com/p/178829845
AI video creation tools. How good are they now? ,2025-08-18,2206,1125,0.51,everyone,171037663,https://developai.substack.com/p/171037663
Let’s not dismiss the EU AI Act… but if Meta and Apple don’t comply what’s the point?,2025-08-08,2214,1170,0.5285,everyone,170426672,https://developai.substack.com/p/170426672
AI Detection & The University Implosion,2025-08-01,2218,1238,0.5582,everyone,169826847,https://developai.substack.com/p/169826847
"Is more ""media literacy"" the answer to AI slop? Not if we keep doing it the same way.",2025-07-25,2228,1233,0.5534,everyone,169151466,https://developai.substack.com/p/169151466
"New ""Burn It Down"" podcast episode",2025-06-26,2239,1175,0.5248,everyone,166899361,https://developai.substack.com/p/166899361
Five ways AI can save and endanger Public Service Media,2025-05-14,2227,1455,0.6533,everyone,163259226,https://developai.substack.com/p/163259226
How to build your own AI model and trap it in your house,2025-02-12,2136,1206,0.5646,everyone,156926615,https://developai.substack.com/p/156926615
We are using AI to map how the world's media uses AI,2025-01-16,2173,1123,0.5168,everyone,154811022,https://developai.substack.com/p/154811022
The AI Wars Have Begun: Apple vs the BBC,2025-01-08,2161,1271,0.5882,everyone,154319937,https://developai.substack.com/p/154319937
Could OpenAI be wide open for extreme legal action?,2024-12-03,2149,1037,0.4826,everyone,151070797,https://developai.substack.com/p/151070797
Will Google & AI destroy podcasting?,2024-10-16,2146,1192,0.5555,everyone,150220983,https://developai.substack.com/p/150220983
AI in Africa and Asia - we need to produce our own AI tools and here's how Develop AI will help,2024-09-10,2139,1139,0.5325,everyone,148716095,https://developai.substack.com/p/148716095
AI Lawsuits - The Global Top 5,2024-08-07,2136,1089,0.5098,everyone,147121096,https://developai.substack.com/p/147121096
AI & Data Incest - What is the Solution?,2024-07-17,2140,1172,0.5477,everyone,146129938,https://developai.substack.com/p/146129938
Is it too late for us to fight AI over copyright?,2024-06-26,2162,860,0.3978,everyone,145951894,https://developai.substack.com/p/145951894
AI will turn the web into a wasteland... what's next? ,2024-06-13,2119,1221,0.5762,everyone,145527707,https://developai.substack.com/p/145527707
Why is the media selling their prized content to OpenAI?,2024-05-31,2147,1118,0.5207,everyone,144863661,https://developai.substack.com/p/144863661
AI at The Met Gala and the horror that is to come...,2024-05-09,2111,933,0.442,everyone,144415097,https://developai.substack.com/p/144415097
Formula 1 with AI drivers: total disaster,2024-05-01,2139,1047,0.4895,everyone,144166855,https://developai.substack.com/p/144166855
With AI will Facebook finally improve the world?,2024-04-24,2152,1054,0.4898,everyone,143856352,https://developai.substack.com/p/143856352
Not all languages are created equal,2024-04-10,2140,1154,0.5393,everyone,143419293,https://developai.substack.com/p/143419293
ChatGPT drinks 500ml of fresh water for every 50 texts you send it... ,2024-04-03,2146,1292,0.6021,everyone,143211589,https://developai.substack.com/p/143211589
AI can now change your opinion... on any topic,2024-03-27,2137,1164,0.5447,everyone,142966387,https://developai.substack.com/p/142966387
AI vs The Law - who will win? ,2024-03-20,2114,1105,0.5227,everyone,142607226,https://developai.substack.com/p/142607226
Here's how AI will improve your business forever ,2024-03-13,2113,1238,0.5859,everyone,142557237,https://developai.substack.com/p/142557237
"AI So White... and why the AI ""white racism"" at Google was overblown",2024-03-05,2108,1271,0.6029,everyone,142106916,https://developai.substack.com/p/142106916
Those insane AI videos... we need to talk,2024-02-21,2092,1552,0.7419,everyone,141868688,https://developai.substack.com/p/141868688
How will AI invade the world's elections this year? ,2024-02-07,2026,1193,0.5888,everyone,141231914,https://developai.substack.com/p/141231914
3 Incredible AI solutions for Africa (that don't involve the media or podcasting) ,2024-01-19,2032,975,0.4798,everyone,140733447,https://developai.substack.com/p/140733447
Is AI funnier than we want to accept?,2024-01-10,2014,1048,0.5204,everyone,140469870,https://developai.substack.com/p/140469870
Spotify's annoying AI DJ and the future of AI in audio ,2023-12-12,2057,1107,0.5382,everyone,139585279,https://developai.substack.com/p/139585279
"AI in Egypt, AI animation and building a GPT of yourself ",2023-11-30,2025,1104,0.5452,everyone,139191026,https://developai.substack.com/p/139191026
The insane bias in generative images... and if it is possible to fix,2023-11-22,2022,1357,0.6711,everyone,138883231,https://developai.substack.com/p/138883231
A few clicks to build your own AI chatbot,2023-11-14,2035,1165,0.5725,everyone,138704755,https://developai.substack.com/p/138704755
Lessons in AI from Bloomberg's Africa Business Media Innovators 2023 conference,2023-11-07,2025,1028,0.5077,everyone,138630509,https://developai.substack.com/p/138630509
The 7 African projects that are embracing AI and data journalism,2023-10-31,2022,1227,0.6068,everyone,138170078,https://developai.substack.com/p/138170078
AI strategies for newsrooms... and the content apocalypse that is coming,2023-10-17,1976,1264,0.6397,everyone,137981555,https://developai.substack.com/p/137981555
"Zimbabwe has built an AI newsreader, but she isn't coming for your job",2023-10-10,2011,1456,0.724,everyone,137772719,https://developai.substack.com/p/137772719
How to plug WhatsApp directly into ChatGPT,2023-09-26,2058,1755,0.8528,everyone,137341850,https://developai.substack.com/p/137341850
Use AI to build a complete podcast episode - no mics required,2023-10-03,2026,1626,0.8026,everyone,137341741,https://developai.substack.com/p/137341741
"Develop AI tools, coding tips and the Time magazine AI 100",2023-09-19,746,601,0.8056,everyone,137005008,https://developai.substack.com/p/137005008
It is time to Develop AI for African media,2023-09-12,733,745,1.0164,everyone,136898668,https://developai.substack.com/p/136898668



